No,Judul Inovasi,Pemda,Admin OPD,Inisiator,Nama Inisiator,Bentuk Inovasi,Jenis,Asta Cipta,Urusan Utama,Urusan lain yang beririsan,Kematangan,Tahapan Inovasi,Tanggal Input,Tanggal Penerapan,Tanggal Pengembangan,Koordinat,Video,Link Video,lat,lon,Admin OPD Grouped
1,POP SURGA (Penghantaran Obat Pasien Sumberglagah),Provinsi Jawa Timur,Dinas Kesehatan UPT. RSK Sumberglagah Mojokerto (jatimprov.dinkes.uptsumberglagahmjk),Kepala Daerah,"drg. SHINTA SAWITRI, M.Kes ",Inovasi pelayanan publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",kesehatan,pekerjaan umum dan penataan ruang,85,Penerapan,2022-07-22,2023-11-29,,"-7.60739065953564, 112.54078722662341",Ada,https://www.youtube.com/watch?v=o_TedznOu3U,-7.60739065953564,112.5407872266234,Dinas Kesehatan Upt
2,PHEC (Pre Hospital Emergency Care),Provinsi Jawa Timur,Dinas Kesehatan UPT. RSK Sumberglagah Mojokerto (jatimprov.dinkes.uptsumberglagahmjk),OPD,"drg. SHINTA SAWITRI, M.Kes ",Inovasi pelayanan publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,kesehatan,92,Penerapan,2022-07-22,2023-06-24,,"-7.6073109183015, 112.54072288029913",Ada,https://youtu.be/TJaII4_0UkI,-7.6073109183015,112.54072288029911,Dinas Kesehatan Upt
3,Naskah Dinas Elektronik (NADINE),Provinsi Jawa Timur,Badan Koordinasi Wilayah Pamekasan Provinsi Jawa Timur (jatimprov.bakorwilpamekasan),OPD,"Dra. SUFI AGUSTINI, M.Si",Inovasi tata kelola pemerintahan daerah,Teknologi,"Memperkuat reformasi politik, hukum, dan birokrasi, serta memperkuat pencegahan dan pemberantasan korupsi dan narkoba.",kearsipan,Fungsi Penunjang lainnya sesuai dengan ketentuan peraturan perundang-undangan,110,Penerapan,2023-06-20,2024-12-31,2024-12-31,"-7.158553824257441, 113.48272568540575",Ada,https://drive.google.com/file/d/192dhJGWtC4lDcuxiKw_n5B7iFEPUpgne/view,-7.158553824257441,113.48272568540575,Badan Koordinasi Wilayah Pamekasan Provinsi Jawa Timur (Jatimprov
4,PERMATA ( Pertanian Ramah Lingkungan menuju Masyarakat Tangguh dan Alamiah ),Provinsi Jawa Timur,Dinas Pertanian dan Ketahanan Pangan (jatimprov.dispertanian),OPD,-,Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Digital,-,pertanian,,60,Uji Coba,2023-06-26,2023-09-25,,,Tidak Ada,-,,,Dinas Pertanian Dan Ketahanan Pangan (Jatimprov
5,SIGALON,Provinsi Jawa Timur,Dinas Kesehatan UPT. RS Mata Masyarakat (jatimprov.dinkes.uptmatamasy),OPD,-,Inovasi pelayanan publik,Digital,-,kesehatan,,52,Penerapan,2023-07-10,2023-07-10,,,Ada,https://drive.google.com/file/d/1JKCIqN4TRVL-Om9yFgXMyJYJIPe-DMRa/view?usp=drive_link,,,Dinas Kesehatan Upt
6,e-DESI (Deteksi Hipertensi Secara Mandiri),Provinsi Jawa Timur,Dinas Kesehatan Provinsi Jawa Timur (jatimprov.dinkes),Kepala Daerah,Dinas Kesehatan Provinsi Jawa Timur,Inovasi pelayanan publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",kesehatan,,89,Penerapan,2023-07-12,2023-04-16,,"-7,325387, 112,731079",Ada,https://drive.google.com/drive/folders/1e9zqHYmlrIknOUY2YwUz0VLH5t3zNSnU,-7.0,,Dinas Kesehatan Provinsi Jawa Timur (Jatimprov
7, Si Onde ( aplikaSI ONe Day sErvice ),Provinsi Jawa Timur,Dinas Pekerjaan Umum Bina Marga Provinsi Jawa Timur (jatimprov.pubm),OPD,-,Inovasi pelayanan publik,Digital,-,pekerjaan umum dan penataan ruang,perumahan rakyat dan kawasan permukiman,77,Penerapan,2023-07-14,2023-07-14,,,Ada,https://res3.tuxedovation.com/5ce0f6259e0ff2e37608eacd02f299b3507551f3.jpg,,,Dinas Pekerjaan Umum Bina Marga Provinsi Jawa Timur (Jatimprov
8,SPORTOFOLIO - Portfolio Digital Pembelajaran PJOK di Indonesia,Provinsi Jawa Timur," SMAN 1 SINE, KAB. NGAWI  (jatimprov.dispendik.sman1sine)",ASN,-,Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Digital,-,pendidikan,"kepemudaan dan olah raga,kearsipan,Pendidikan dan Pelatihan,Fungsi Penunjang lainnya sesuai dengan ketentuan peraturan perundang-undangan",0,Penerapan,2023-07-14,2023-07-24,,,Tidak Ada,-,,,Dinas Pendidikan
9,SMANSI-ku - Aplikasi Panduan Informasi Untuk Siswa SMAN 1 SINE,Provinsi Jawa Timur," SMAN 1 SINE, KAB. NGAWI  (jatimprov.dispendik.sman1sine)",ASN,-,Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Digital,-,pendidikan,"komunikasi dan informatika,statistik,Pendidikan dan Pelatihan",0,Penerapan,2023-07-14,2023-07-17,,,Tidak Ada,-,,,Dinas Pendidikan
10,‘E-KOMITE’ SISTEM MONITORING PELAYANAN PARTISIPASI SUMBANGAN MASYARAKAT UNTUK PENINGKATAN  MUTU PENDIDIKAN,Provinsi Jawa Timur,"SMK NEGERI 1 KARE, KAB MADIUN (jatimprov.dispendik.smkn1kare)",ASN,-,Inovasi pelayanan publik,Digital,-,pendidikan,komunikasi dan informatika,0,Penerapan,2023-07-15,2023-09-27,,,Tidak Ada,-,,,Dinas Pendidikan
11,MY FAVORITE TEMPE,Provinsi Jawa Timur,SLB CAHAYA PUTIH (jatimprov.dispendik.slbcahayaputih),OPD,-,Inovasi pelayanan publik,Digital,-,pangan,,11,Penerapan,2023-07-18,2023-05-31,,,Ada,https://www.youtube.com/watch?v=jw9yaiNaNG4,,,Dinas Pendidikan
12,PEMBUATAN KAOS DAN SISIR KAYU INOVASI MODEL TERBARU,Provinsi Jawa Timur," SMK DARUSSALAM, KAB. JOMBANG  (jatimprov.dispendik.smkdarussalam)",OPD,-,Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,-,Pendidikan dan Pelatihan,,45,Uji Coba,2023-07-26,2023-05-02,,,Tidak Ada,-,,,Dinas Pendidikan
